A = 1.200000, B = 3.450000
C = 3.451000, D = 3.451600
A = 1.2, B = 3.5
C = 3.5, D = 3.5
A = 1.20, B = 3.45
C = 3.45, D = 3.45
A = 1.200, B = 3.450
C = 3.451, D = 3.452
A = 1.200E+00, B = 3.450E+00
C = 3.451E+00, D = 3.452E+00
A = 1, B = 3
C = 3, D = 3
---
A = 2127.899902, B = -821.450012
C = -1020.456000, D = 1352.454800
A = 2127.9, B = -821.5
C = -1020.5, D = 1352.5
A = 2127.90, B = -821.45
C = -1020.46, D = 1352.45
A = 2127.900, B = -821.450
C = -1020.456, D = 1352.455
A = 2.128E+03, B = -8.215E+02
C = -1.020E+03, D = 1.352E+03
A = 2128, B = -821
C = -1020, D = 1352
---
A = 3.100000, B = -3.140000
C = -0.000000, D = 3.141500
A = 3.1, B = -3.1
C = -0.0, D = 3.1
A = 3.10, B = -3.14
C = -0.00, D = 3.14
A = 3.100, B = -3.140
C = -0.000, D = 3.142
A = 3.100E+00, B = -3.140E+00
C = -0.000E+00, D = 3.142E+00
A = 3, B = -3
C = -0, D = 3
